pair,n_z2.0,winrate_z2.0_%,avgpnl_z2.0_%,,n_z2.5,winrate_z2.5_%,avgpnl_z2.5_%,,n_z3.0,winrate_z3.0_%,avgpnl_z3.0_%,,n_z3.5,winrate_z3.5_%,avgpnl_z3.5_%
NBFC | CHOLAFIN.NS/CANFINHOME.NS,93,65.6,1.06,,42,57.1,1.16,,18,55.6,1.57,,6,50,1.82
NBFC | CHOLAFIN.NS/IIFL.NS,101,55.4,0.98,,53,47.2,0.21,,25,36,-0.7,,6,33.3,-0.75
NBFC | CHOLAFIN.NS/LICHSGFIN.NS,93,53.8,0.22,,45,46.7,-0.25,,18,38.9,-0.83,,8,25,-1.31
NBFC | CHOLAFIN.NS/LTF.NS,87,56.3,-0.03,,49,51,-0.04,,15,53.3,0.02,,4,25,-2.02
NBFC | CHOLAFIN.NS/M&MFIN.NS,84,67.9,0.96,,49,61.2,0.24,,24,62.5,1.54,,7,57.1,1.59
NBFC | CHOLAFIN.NS/MANAPPURAM.NS,85,54.1,0.37,,47,51.1,0.29,,19,47.4,-0.22,,10,70,1.74
NBFC | CHOLAFIN.NS/MUTHOOTFIN.NS,92,60.9,0.51,,40,60,0.33,,11,54.5,-0.29,,2,50,-0.88
NBFC | CHOLAFIN.NS/PNBHOUSING.NS,97,44.3,-0.21,,56,44.6,-0.21,,19,36.8,-0.37,,5,20,-1.89
NBFC | CHOLAFIN.NS/POONAWALLA.NS,96,47.9,0.14,,49,57.1,1.34,,19,63.2,2.19,,4,75,4.1
NBFC | CHOLAFIN.NS/SHRIRAMFIN.NS,86,60.5,0.34,,39,53.8,0.3,,20,50,-0.01,,5,60,0.9
NBFC | CHOLAFIN.NS/SUNDARMFIN.NS,88,69.3,1.09,,43,65.1,0.9,,10,60,1.89,,4,50,0.95
NBFC | IIFL.NS/ABCAPITAL.NS,85,54.1,0.62,,53,52.8,0.4,,24,58.3,1.42,,6,33.3,-0.76
NBFC | IIFL.NS/POONAWALLA.NS,92,51.1,0.61,,53,43.4,0.3,,19,63.2,2.73,,5,40,-0.19
NBFC | IIFL.NS/SUNDARMFIN.NS,101,57.4,0.79,,50,54,0.62,,19,52.6,0.19,,7,42.9,0.22
NBFC | LICHSGFIN.NS/ABCAPITAL.NS,79,49.4,-0.04,,38,50,-0.47,,19,36.8,-1.52,,3,0,-4
NBFC | LICHSGFIN.NS/CANFINHOME.NS,95,57.9,0.27,,50,52,-0.03,,13,53.8,0.01,,3,0,-2.67
NBFC | LICHSGFIN.NS/IIFL.NS,97,57.7,1.07,,55,49.1,0.34,,21,47.6,0.33,,7,42.9,0.29
NBFC | LICHSGFIN.NS/LTF.NS,77,59.7,0.15,,48,60.4,0.54,,14,57.1,-0.08,,3,66.7,2.24
NBFC | LICHSGFIN.NS/M&MFIN.NS,81,55.6,0.23,,50,56,0.19,,19,36.8,-0.95,,3,100,4.55
NBFC | LICHSGFIN.NS/MANAPPURAM.NS,81,60.5,0.52,,41,65.9,1,,15,66.7,0.98,,5,60,0.76
NBFC | LICHSGFIN.NS/MUTHOOTFIN.NS,88,58,0.26,,38,47.4,-0.72,,15,60,0.03,,5,40,-1.05
NBFC | LICHSGFIN.NS/PNBHOUSING.NS,85,56.5,0.62,,51,51,0.44,,19,36.8,0.07,,6,33.3,-1.27
NBFC | LICHSGFIN.NS/POONAWALLA.NS,93,52.7,0.08,,47,44.7,-0.17,,15,33.3,-0.75,,6,50,1.33
NBFC | LICHSGFIN.NS/SUNDARMFIN.NS,82,59.8,0.69,,39,61.5,1.32,,12,58.3,0.37,,1,0,-4
NBFC | LTF.NS/ABCAPITAL.NS,70,60,0.46,,36,66.7,1.23,,14,64.3,1.76,,4,100,3.74
NBFC | LTF.NS/IIFL.NS,90,53.3,0.66,,52,51.9,0.74,,23,43.5,0.46,,6,33.3,-0.18
NBFC | LTF.NS/POONAWALLA.NS,98,56.1,0.76,,50,56,0.97,,20,65,1.46,,4,50,1.32
NBFC | LTF.NS/SUNDARMFIN.NS,91,64.8,0.93,,49,63.3,0.9,,16,62.5,0.84,,6,16.7,-2.59
NBFC | M&MFIN.NS/ABCAPITAL.NS,74,54.1,0.06,,41,46.3,-0.26,,15,53.3,0.92,,3,33.3,-1.91
NBFC | M&MFIN.NS/IIFL.NS,96,63.5,1.43,,47,61.7,1.38,,22,59.1,1.11,,7,28.6,-1.03
NBFC | M&MFIN.NS/LTF.NS,83,62.7,0.62,,37,64.9,0.9,,13,76.9,2.41,,3,100,4.59
NBFC | M&MFIN.NS/POONAWALLA.NS,98,56.1,0.51,,50,60,1.28,,15,46.7,-0.61,,3,66.7,-0.65
NBFC | M&MFIN.NS/SUNDARMFIN.NS,96,62.5,1.04,,50,70,2.06,,16,62.5,1.12,,2,50,-0.47
NBFC | MANAPPURAM.NS/ABCAPITAL.NS,80,50,-0.16,,41,46.3,0.15,,15,26.7,-1.44,,4,0,-4
NBFC | MANAPPURAM.NS/IIFL.NS,106,47.2,0.13,,56,57.1,1.19,,19,47.4,0.1,,8,50,-0.09
NBFC | MANAPPURAM.NS/LTF.NS,92,53.3,0.24,,47,46.8,-0.28,,14,57.1,0.83,,4,50,-0.05
NBFC | MANAPPURAM.NS/M&MFIN.NS,88,54.5,0.43,,48,52.1,0.09,,15,33.3,-1.12,,5,60,1.94
NBFC | MANAPPURAM.NS/POONAWALLA.NS,104,40.4,-0.5,,50,46,0.37,,18,61.1,2.59,,2,50,2
NBFC | MANAPPURAM.NS/SUNDARMFIN.NS,93,61.3,1.08,,44,68.2,1.73,,20,50,-0.09,,8,75,3.56
NBFC | MUTHOOTFIN.NS/ABCAPITAL.NS,82,56.1,0.57,,40,57.5,0.59,,15,53.3,0.54,,4,25,-1.71
